Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOP-LJVHFBC,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-LJVHFBC,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-LJVHFBC,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-LJVHFBC,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-LJVHFBC,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-LJVHFBC,,Option:CrashOnAuditFail,,Disabled,,0
DESKTOP-LJVHFBC,,Option:FullPrivilegeAuditing,,Disabled,,0
DESKTOP-LJVHFBC,,Option:AuditBaseObjects,,Disabled,,0
DESKTOP-LJVHFBC,,Option:AuditBaseDirectories,,Disabled,,0
DESKTOP-LJVHFBC,,FileGlobalSacl,,,,
DESKTOP-LJVHFBC,,RegistryGlobalSacl,,,,
