Nom d’ordinateur,Cible de stratégie,Sous-catégorie,GUID de sous-catégorie,Paramètre d’inclusion,Paramètre d’exclusion,Valeur de paramètre
DESKTOP-GNOKDIM,Système,Autres événements de gestion des comptes,{0CCE923A-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Gestion des groupes de distribution,{0CCE9238-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Gestion des groupes d’applications,{0CCE9239-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Gestion des groupes de sécurité,{0CCE9237-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Gestion des comptes d’utilisateur,{0CCE9235-69AE-11D9-BED3-505054503030},Réussite,,1
DESKTOP-GNOKDIM,Système,Gestion des comptes d’ordinateur,{0CCE9236-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Accès au service d’annuaire,{0CCE923B-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Modification du service d’annuaire,{0CCE923C-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Réplication du service d’annuaire,{0CCE923D-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Réplication du service d’annuaire détaillé,{0CCE923E-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Autres événements d’ouverture de session,{0CCE9241-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Opérations de ticket du service Kerberos,{0CCE9240-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Validation des informations d’identification,{0CCE923F-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,Système,Service d’authentification Kerberos,{0CCE9242-69AE-11D9-BED3-505054503030},Pas d’audit,,0
DESKTOP-GNOKDIM,,Option:CrashOnAuditFail,,Désactivé,,0
DESKTOP-GNOKDIM,,Option:FullPrivilegeAuditing,,Désactivé,,0
DESKTOP-GNOKDIM,,Option:AuditBaseObjects,,Désactivé,,0
DESKTOP-GNOKDIM,,Option:AuditBaseDirectories,,Désactivé,,0
